# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CYP2A6	ENSG00000255974	ENST00000301141	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CYP2C19	ENSG00000165841	ENST00000371321	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000324771	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000376567	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000376568	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000376569	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000376570	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000376575	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000396342	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000412274	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000417521	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
DDR1	ENSG00000204580	ENST00000418800	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000421124	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000424544	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000428153	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000437124	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000446312	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000452441	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000454612	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000460944	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000484556	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000502955	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000503180	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000503495	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000503670	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000504651	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000504679	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000504927	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000505066	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000505534	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000507046	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000507901	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000508312	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000508317	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000509639	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000511510	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000512336	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000512694	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000512725	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000513043	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000513240	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DDR1	ENSG00000204580	ENST00000514434	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000515219	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000515233	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR1	ENSG00000204580	ENST00000515881	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	1	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	1	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	1	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000671979	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000399959	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000441189	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000457138	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000611968	protein_coding	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000615313	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000616050	protein_coding	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000625837	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000626301	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000629496	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000642322	protein_coding	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000642424	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000643821	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000644073	protein_coding	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000644074	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000644109	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000644513	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000644677	protein_coding	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000644876	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000646107	protein_coding	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000646122	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000646319	protein_coding	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
DDX3X	ENSG00000215301	ENST00000646627	protein_coding	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000646679	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000264709	protein_coding	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000321117	protein_coding	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000380746	protein_coding	0	1	1	2	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000402667	protein_coding	0	1	1	2	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000470983	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
DNMT3A	ENSG00000119772	ENST00000683760	protein_coding	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
DPYD	ENSG00000188641	ENST00000370192	protein_coding	0	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
EGFR	ENSG00000146648	ENST00000420316	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000450046	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0
ENSG00000282218	ENSG00000282218	ENST00000467125	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ENSG00000282278	ENSG00000282278	ENST00000507166	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000285827	ENSG00000285827	ENST00000648261	protein_coding	0	1	0	5	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000269571	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
ERBB2	ENSG00000141736	ENST00000406381	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000445658	protein_coding	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
ERBB2	ENSG00000141736	ENST00000541774	protein_coding	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000578199	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000578502	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000578709	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
ERBB2	ENSG00000141736	ENST00000584450	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
ERBB2	ENSG00000141736	ENST00000584601	protein_coding	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
ERBB3	ENSG00000065361	ENST00000267101	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000411731	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000415288	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000549061	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000549282	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000549832	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ERBB3	ENSG00000065361	ENST00000550070	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000550828	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000643266	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000683018	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000683059	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ERBB3	ENSG00000065361	ENST00000683164	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000342788	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000402597	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000436443	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000288319	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398897	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398905	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398907	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398910	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398911	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398919	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000417133	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000442448	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERG	ENSG00000157554	ENST00000453032	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ESR2	ENSG00000140009	ENST00000267525	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESR2	ENSG00000140009	ENST00000341099	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESR2	ENSG00000140009	ENST00000353772	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESR2	ENSG00000140009	ENST00000358599	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESR2	ENSG00000140009	ENST00000553796	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ESR2	ENSG00000140009	ENST00000554572	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESR2	ENSG00000140009	ENST00000555278	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ESR2	ENSG00000140009	ENST00000556275	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESR2	ENSG00000140009	ENST00000557772	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EZH2	ENSG00000106462	ENST00000320356	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000350995	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000460911	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000476773	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000478654	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000483967	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FBXW7	ENSG00000109670	ENST00000281708	protein_coding	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
FBXW7	ENSG00000109670	ENST00000296555	protein_coding	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
FBXW7	ENSG00000109670	ENST00000393956	protein_coding	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
FBXW7	ENSG00000109670	ENST00000603548	protein_coding	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
FBXW7	ENSG00000109670	ENST00000603841	protein_coding	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000413133	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000434187	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000440174	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000525001	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526742	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000529552	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000683765	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000683815	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000684654	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000336553	protein_coding	1	0	0	5	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000346997	protein_coding	1	0	0	5	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000351936	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000356226	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000357555	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000358487	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000360144	protein_coding	1	0	0	5	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369056	protein_coding	1	0	0	5	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369058	protein_coding	1	0	0	5	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369059	protein_coding	1	0	0	5	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369060	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369061	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000429361	protein_coding	1	0	0	5	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000457416	protein_coding	1	0	0	5	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000478859	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000613048	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000638709	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682550	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682772	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000683211	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000684153	protein_coding	1	0	0	5	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000340107	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000352904	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000412135	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000440486	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000481110	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000507588	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FLT1	ENSG00000102755	ENST00000282397	protein_coding	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0
FLT1	ENSG00000102755	ENST00000539099	protein_coding	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
FLT1	ENSG00000102755	ENST00000540678	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FLT1	ENSG00000102755	ENST00000541932	protein_coding	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
FLT1	ENSG00000102755	ENST00000543394	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FLT1	ENSG00000102755	ENST00000615611	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FLT1	ENSG00000102755	ENST00000615840	protein_coding	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
FLT1	ENSG00000102755	ENST00000617835	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FLT1	ENSG00000102755	ENST00000639477	protein_coding	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
FLT3	ENSG00000122025	ENST00000241453	protein_coding	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
GNAS	ENSG00000087460	ENST00000265620	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000306090	protein_coding	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
