# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
EXOC6	ENSG00000138190	ENST00000371547	protein_coding	0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0
EXOC6	ENSG00000138190	ENST00000371552	protein_coding	0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0
EXOC6	ENSG00000138190	ENST00000443748	protein_coding	0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0
EXOSC10	ENSG00000171824	ENST00000304457	protein_coding	0	1	0	15	1	0	0	0	2	0	12	0	0	0	0	1	0
EXOSC10	ENSG00000171824	ENST00000376936	protein_coding	0	1	0	15	1	0	0	0	2	0	12	0	0	0	0	1	0
EXOSC10	ENSG00000171824	ENST00000544779	protein_coding	0	0	0	16	2	0	0	0	2	0	12	0	0	0	0	0	0
FAM102A	ENSG00000167106	ENST00000373084	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM102A	ENSG00000167106	ENST00000373095	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FAM160A1	ENSG00000164142	ENST00000435205	protein_coding	0	0	0	12	0	0	0	0	0	0	6	0	0	0	0	0	6
FAM160A1	ENSG00000164142	ENST00000503146	protein_coding	0	0	0	12	0	0	0	0	0	0	6	0	0	0	0	0	6
FAM160A1	ENSG00000164142	ENST00000505231	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FAM160A1	ENSG00000164142	ENST00000512597	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FAM160A1	ENSG00000164142	ENST00000513086	protein_coding	0	0	0	12	0	0	0	0	1	0	5	0	0	0	0	0	6
FAM160A1	ENSG00000164142	ENST00000513962	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FAM179A	ENSG00000189350	ENST00000379558	protein_coding	0	1	1	34	0	0	0	0	0	0	34	1	0	0	0	1	0
FAM179A	ENSG00000189350	ENST00000401723	protein_coding	0	0	0	39	0	0	0	0	0	0	39	0	0	0	0	0	0
FAM179A	ENSG00000189350	ENST00000403861	protein_coding	0	1	1	34	0	0	0	0	0	0	34	1	0	0	0	1	0
FAM179A	ENSG00000189350	ENST00000420297	protein_coding	0	0	0	29	0	0	0	0	20	0	9	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000287647	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000383806	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000383807	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000419585	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
FANCD2OS	ENSG00000163705	ENST00000450660	protein_coding	0	0	0	8	0	0	0	0	2	0	4	0	0	0	0	0	2
FANCD2OS	ENSG00000163705	ENST00000453223	protein_coding	0	0	0	8	1	0	0	0	1	0	0	0	0	0	0	0	6
FANCD2OS	ENSG00000163705	ENST00000524279	protein_coding	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	2
FBXW11	ENSG00000072803	ENST00000265094	protein_coding	0	0	0	14	0	0	0	0	0	0	14	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000296933	protein_coding	0	0	0	14	0	0	0	0	0	0	14	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000393802	protein_coding	0	0	0	14	0	0	0	0	0	0	14	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000425623	protein_coding	0	0	0	14	0	0	0	0	0	0	14	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000517395	protein_coding	0	0	0	14	0	0	0	0	0	0	14	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000518752	protein_coding	0	0	0	12	0	0	0	0	0	0	6	0	0	0	0	0	6
FGFR3	ENSG00000068078	ENST00000260795	protein_coding	1	1	0	8	0	0	0	0	0	1	5	0	0	0	0	1	3
FGFR3	ENSG00000068078	ENST00000340107	protein_coding	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	3
FGFR3	ENSG00000068078	ENST00000352904	protein_coding	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	3
FGFR3	ENSG00000068078	ENST00000412135	protein_coding	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	3
FGFR3	ENSG00000068078	ENST00000440486	protein_coding	1	1	0	8	0	0	0	0	0	1	5	0	0	0	0	1	3
FGFR3	ENSG00000068078	ENST00000481110	protein_coding	1	1	0	8	0	0	0	0	0	1	5	0	0	0	0	1	3
FGFR3	ENSG00000068078	ENST00000507588	protein_coding	0	1	0	6	0	0	0	0	1	0	1	0	0	0	0	1	4
FIP1L1	ENSG00000145216	ENST00000306932	protein_coding	0	0	0	16	0	0	0	0	0	0	16	0	0	0	0	0	0
FIP1L1	ENSG00000145216	ENST00000337488	protein_coding	0	0	0	16	0	0	0	0	0	0	16	0	0	0	0	0	0
FIP1L1	ENSG00000145216	ENST00000358575	protein_coding	0	0	0	16	0	0	0	0	0	0	16	0	0	0	0	0	0
FIP1L1	ENSG00000145216	ENST00000507166	protein_coding	0	0	0	63	0	0	0	0	0	0	63	0	0	0	0	0	0
FIP1L1	ENSG00000145216	ENST00000507922	protein_coding	0	0	0	16	0	0	0	0	0	0	16	0	0	0	0	0	0
GART	ENSG00000159131	ENST00000361093	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GART	ENSG00000159131	ENST00000381815	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
GART	ENSG00000159131	ENST00000381831	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
GART	ENSG00000159131	ENST00000381839	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
GART	ENSG00000159131	ENST00000543717	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
GEMIN6	ENSG00000152147	ENST00000281950	protein_coding	0	0	0	15	1	0	0	0	10	0	4	0	0	0	0	0	0
GEMIN6	ENSG00000152147	ENST00000409011	protein_coding	0	0	0	27	0	0	0	0	10	0	17	0	0	0	0	0	0
GEMIN6	ENSG00000152147	ENST00000409566	protein_coding	0	0	0	14	0	0	0	0	10	0	4	0	0	0	0	0	0
GH1	ENSG00000259384	ENST00000323322	protein_coding	0	2	1	2	0	0	0	0	2	0	0	1	0	0	0	2	0
GH1	ENSG00000259384	ENST00000342364	protein_coding	0	0	0	5	0	0	0	0	2	0	3	0	0	0	0	0	0
GH1	ENSG00000259384	ENST00000351388	protein_coding	0	2	1	2	0	0	0	0	2	0	0	1	0	0	0	2	0
GH1	ENSG00000259384	ENST00000458650	protein_coding	0	2	1	2	0	0	0	0	2	0	0	1	0	0	0	2	0
GH2	ENSG00000136487	ENST00000332800	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	2
GH2	ENSG00000136487	ENST00000423893	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	2
GH2	ENSG00000136487	ENST00000449787	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	2
GH2	ENSG00000136487	ENST00000456543	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	2
GNA11	ENSG00000088256	ENST00000078429	protein_coding	2	1	0	2	0	0	0	0	0	2	2	0	0	0	0	1	0
GNA11	ENSG00000088256	ENST00000587636	protein_coding	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	1	1
GRID1	ENSG00000182771	ENST00000327946	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
GSX1	ENSG00000169840	ENST00000302945	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GTF2H4	ENSG00000213780	ENST00000259895	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GTF2H4	ENSG00000213780	ENST00000376316	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GTF3A	ENSG00000122034	ENST00000381140	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	0	0	0	1	0
GTF3A	ENSG00000122034	ENST00000439403	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1
HIC2	ENSG00000169635	ENST00000407464	protein_coding	0	0	0	10	0	0	0	0	1	0	7	0	0	0	0	0	2
HIC2	ENSG00000169635	ENST00000407598	protein_coding	0	0	0	8	0	0	0	0	1	0	6	0	0	0	0	0	1
HIC2	ENSG00000169635	ENST00000443632	protein_coding	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000311189	protein_coding	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000397594	protein_coding	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000397596	protein_coding	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000417302	protein_coding	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000451590	protein_coding	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
HSD17B7	ENSG00000132196	ENST00000254521	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0
HSD17B7	ENSG00000132196	ENST00000367913	protein_coding	0	0	0	6	0	0	0	0	4	0	2	0	0	0	0	0	0
HSD17B7	ENSG00000132196	ENST00000367915	protein_coding	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
HSD17B7	ENSG00000132196	ENST00000367917	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0
IFNGR2	ENSG00000159128	ENST00000290219	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
IFNGR2	ENSG00000159128	ENST00000381995	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
IFNGR2	ENSG00000159128	ENST00000405436	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
IFNGR2	ENSG00000159128	ENST00000421802	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
IFT46	ENSG00000118096	ENST00000264020	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
IFT46	ENSG00000118096	ENST00000264021	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
IFT46	ENSG00000118096	ENST00000528378	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
IFT46	ENSG00000118096	ENST00000530872	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
IFT46	ENSG00000118096	ENST00000533918	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
IFT46	ENSG00000118096	ENST00000534114	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
IFT46	ENSG00000118096	ENST00000534156	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
IKZF1	ENSG00000185811	ENST00000331340	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0
IKZF1	ENSG00000185811	ENST00000343574	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0
IKZF1	ENSG00000185811	ENST00000346667	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0
IKZF1	ENSG00000185811	ENST00000349824	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0
IKZF1	ENSG00000185811	ENST00000357364	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0
IKZF1	ENSG00000185811	ENST00000359197	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0
IKZF1	ENSG00000185811	ENST00000413698	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0
IKZF1	ENSG00000185811	ENST00000426121	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
IKZF1	ENSG00000185811	ENST00000438033	protein_coding	0	0	0	13	0	0	0	0	0	0	12	0	0	0	0	0	1
IKZF1	ENSG00000185811	ENST00000439701	protein_coding	0	0	0	13	0	0	0	0	0	0	12	0	0	0	0	0	1
IKZF1	ENSG00000185811	ENST00000440768	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000379971	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000379977	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000397246	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000397248	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000397250	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000397251	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000397255	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000429135	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000453922	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000525219	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000528354	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IL15RA	ENSG00000134470	ENST00000530685	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
INPP5F	ENSG00000198825	ENST00000361976	protein_coding	0	0	0	23	0	0	0	0	0	0	19	0	0	0	0	0	4
INPP5F	ENSG00000198825	ENST00000369081	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
INPP5F	ENSG00000198825	ENST00000369083	protein_coding	0	0	0	21	0	0	0	0	0	0	17	0	0	0	0	0	4
ITGA7	ENSG00000135424	ENST00000257879	protein_coding	0	2	0	18	0	0	0	0	0	0	19	0	0	1	0	1	0
ITGA7	ENSG00000135424	ENST00000257880	protein_coding	0	2	0	18	0	0	0	0	0	0	19	0	0	1	0	1	0
ITGA7	ENSG00000135424	ENST00000347027	protein_coding	0	2	0	18	0	0	0	0	0	0	19	0	0	1	0	1	0
ITGA7	ENSG00000135424	ENST00000394229	protein_coding	0	2	0	18	0	0	0	0	0	0	19	0	0	1	0	1	0
ITGA7	ENSG00000135424	ENST00000394230	protein_coding	0	2	0	18	0	0	0	0	0	0	19	0	0	1	0	1	0
ITGA7	ENSG00000135424	ENST00000452168	protein_coding	0	0	0	20	0	0	0	0	0	0	20	0	0	0	0	0	0
ITGA7	ENSG00000135424	ENST00000553804	protein_coding	0	2	0	18	0	0	0	0	0	0	19	0	0	1	0	1	0
ITGA7	ENSG00000135424	ENST00000555728	protein_coding	0	2	0	18	0	0	0	0	0	0	19	0	0	1	0	1	0
ITGA7	ENSG00000135424	ENST00000557257	protein_coding	0	0	0	18	0	0	0	0	3	0	15	0	0	0	0	0	0
ITGA7	ENSG00000135424	ENST00000557555	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ITSN1	ENSG00000205726	ENST00000381285	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000381291	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000381318	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000399349	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000399352	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000399353	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000399355	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000399367	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000444491	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ITSN1	ENSG00000205726	ENST00000451686	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
JAK2	ENSG00000096968	ENST00000381652	protein_coding	5	7	16	6	0	0	1	0	0	0	7	16	0	3	5	5	0
JAK2	ENSG00000096968	ENST00000539801	protein_coding	5	7	16	6	0	0	1	0	0	0	7	16	0	3	5	5	0
JAK2	ENSG00000096968	ENST00000544510	protein_coding	5	7	12	7	0	2	2	0	0	0	7	12	0	3	5	3	0
KDELC2	ENSG00000178202	ENST00000323468	protein_coding	0	0	0	10	1	0	0	0	0	0	9	0	0	0	0	0	0
KDELC2	ENSG00000178202	ENST00000375648	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	5
KDELC2	ENSG00000178202	ENST00000434945	protein_coding	0	0	0	10	1	0	0	0	0	0	4	0	0	0	0	0	5
KDELC2	ENSG00000178202	ENST00000530318	protein_coding	0	0	0	5	0	0	0	0	1	0	4	0	0	0	0	0	0
KDM6A	ENSG00000147050	ENST00000377967	protein_coding	0	0	0	6	0	0	0	0	2	0	4	0	0	0	0	0	0
KDM6A	ENSG00000147050	ENST00000382899	protein_coding	0	0	0	6	0	0	0	0	2	0	4	0	0	0	0	0	0
KDM6A	ENSG00000147050	ENST00000414389	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0
KDM6A	ENSG00000147050	ENST00000431196	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0
KDM6A	ENSG00000147050	ENST00000433797	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0
KDM6A	ENSG00000147050	ENST00000536777	protein_coding	0	0	0	6	0	0	0	0	2	0	4	0	0	0	0	0	0
KDM6A	ENSG00000147050	ENST00000543216	protein_coding	0	0	0	6	0	0	0	0	2	0	4	0	0	0	0	0	0
KRT4	ENSG00000170477	ENST00000293774	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KRT4	ENSG00000170477	ENST00000458244	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KRT4	ENSG00000170477	ENST00000551956	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KRT79	ENSG00000185640	ENST00000330553	protein_coding	0	2	0	5	3	0	0	0	2	0	0	0	0	0	0	2	0
KRT79	ENSG00000185640	ENST00000549255	protein_coding	0	0	0	7	3	0	0	0	4	0	0	0	0	0	0	0	0
KRT9	ENSG00000171403	ENST00000246662	protein_coding	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0
KRT9	ENSG00000171403	ENST00000588431	protein_coding	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0
LAMA2	ENSG00000196569	ENST00000421865	protein_coding	0	0	2	70	0	0	0	0	0	0	70	2	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000354454	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000536173	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000547044	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000548766	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000550945	protein_coding	0	0	0	6	0	0	0	0	1	0	5	0	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000554942	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000555885	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000556887	protein_coding	0	0	0	5	0	0	0	0	2	0	3	0	0	0	0	0	0
LRMP	ENSG00000118308	ENST00000557489	protein_coding	0	0	0	6	0	0	0	0	1	0	5	0	0	0	0	0	0
LRRC56	ENSG00000161328	ENST00000270115	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LST3	ENSG00000257046	ENST00000381541	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
LST3	ENSG00000257046	ENST00000540229	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
LTBP4	ENSG00000090006	ENST00000204005	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LTBP4	ENSG00000090006	ENST00000545697	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
MAP1S	ENSG00000130479	ENST00000324096	protein_coding	0	0	0	7	0	0	0	0	1	0	6	0	0	0	0	0	0
MAP1S	ENSG00000130479	ENST00000544059	protein_coding	0	0	0	7	0	0	0	0	1	0	6	0	0	0	0	0	0
MAP1S	ENSG00000130479	ENST00000594625	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
MAP1S	ENSG00000130479	ENST00000597000	protein_coding	0	0	0	7	0	0	0	0	1	0	4	0	0	0	0	0	2
MAP1S	ENSG00000130479	ENST00000597735	protein_coding	0	0	0	7	0	0	0	0	1	0	6	0	0	0	0	0	0
MAP1S	ENSG00000130479	ENST00000600186	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
MAP2K2	ENSG00000126934	ENST00000262948	protein_coding	1	0	1	3	0	0	0	0	0	1	3	1	0	0	0	0	0
MAP2K2	ENSG00000126934	ENST00000394867	protein_coding	1	0	1	3	0	0	0	0	0	1	3	1	0	0	0	0	0
MAP2K2	ENSG00000126934	ENST00000599021	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
MAP2K4	ENSG00000065559	ENST00000353533	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MAP2K4	ENSG00000065559	ENST00000415385	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MASP2	ENSG00000009724	ENST00000400897	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
MASP2	ENSG00000009724	ENST00000400898	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
MCC	ENSG00000171444	ENST00000408903	protein_coding	0	0	0	16	0	0	0	0	0	0	15	0	0	0	0	0	1
MDS2	ENSG00000197880	ENST00000374555	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
MEGF11	ENSG00000157890	ENST00000288745	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
MEGF11	ENSG00000157890	ENST00000360698	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
MEGF11	ENSG00000157890	ENST00000395614	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
MEGF11	ENSG00000157890	ENST00000395625	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
MEGF11	ENSG00000157890	ENST00000409699	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
MEGF11	ENSG00000157890	ENST00000422354	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
MEI1	ENSG00000167077	ENST00000300398	protein_coding	0	2	0	6	0	1	3	0	0	0	3	0	0	1	0	0	0
MEI1	ENSG00000167077	ENST00000400107	protein_coding	0	2	1	5	0	1	2	0	0	0	3	1	0	1	0	0	0
MEI1	ENSG00000167077	ENST00000401548	protein_coding	0	1	2	3	0	0	0	0	0	0	3	2	0	1	0	1	0
MEI1	ENSG00000167077	ENST00000540833	protein_coding	0	1	2	3	0	0	0	0	0	0	3	2	0	1	0	1	0
MEI1	ENSG00000167077	ENST00000540880	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
MKRN2	ENSG00000075975	ENST00000170447	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
MKRN2	ENSG00000075975	ENST00000411987	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
MKRN2	ENSG00000075975	ENST00000448482	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
MRPL18	ENSG00000112110	ENST00000367034	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MRPL4	ENSG00000105364	ENST00000253099	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1
MRPL4	ENSG00000105364	ENST00000307422	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1
MRPL4	ENSG00000105364	ENST00000393733	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1
MRPL4	ENSG00000105364	ENST00000588502	protein_coding	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	1
MRPL4	ENSG00000105364	ENST00000590150	protein_coding	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	1
MRPL4	ENSG00000105364	ENST00000590669	protein_coding	0	0	0	4	1	0	0	0	0	0	2	0	0	0	0	0	1
MRPL4	ENSG00000105364	ENST00000590702	protein_coding	0	0	0	4	1	0	0	0	0	0	2	0	0	0	0	0	1
MRPL4	ENSG00000105364	ENST00000592514	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1
MTIF3	ENSG00000122033	ENST00000381116	protein_coding	0	0	3	8	0	0	0	0	0	0	4	3	0	0	0	0	4
MTIF3	ENSG00000122033	ENST00000381120	protein_coding	0	0	3	8	0	0	0	0	0	0	4	3	0	0	0	0	4
MTIF3	ENSG00000122033	ENST00000405591	protein_coding	0	0	3	8	0	0	0	0	0	0	4	3	0	0	0	0	4
MTIF3	ENSG00000122033	ENST00000431572	protein_coding	0	0	3	8	0	0	0	0	0	0	4	3	0	0	0	0	4
MTOR	ENSG00000198793	ENST00000361445	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
MTOR	ENSG00000198793	ENST00000376838	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
MYO1D	ENSG00000176658	ENST00000318217	protein_coding	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	3
MYO1D	ENSG00000176658	ENST00000394649	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
