# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DHDDS	ENSG00000117682	ENST00000525682	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000526219	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000530781	protein_coding	0	0	0	5	0	0	0	0	1	0	4	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000531312	protein_coding	0	0	0	10	0	0	0	0	2	0	8	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000533087	protein_coding	0	0	0	10	0	0	0	0	1	0	9	0	0	0	0	0	0
DNAH1	ENSG00000114841	ENST00000420323	protein_coding	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DNAH2	ENSG00000183914	ENST00000389173	protein_coding	0	2	0	3	0	0	0	0	0	0	3	0	0	0	0	2	0
DNAH2	ENSG00000183914	ENST00000572933	protein_coding	0	2	0	3	0	0	0	0	0	0	3	0	0	0	0	2	0
DPYD	ENSG00000188641	ENST00000370192	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DSCAM	ENSG00000171587	ENST00000400454	protein_coding	0	0	0	40	0	0	0	0	0	0	40	0	0	0	0	0	0
DSCAM	ENSG00000171587	ENST00000404019	protein_coding	0	0	0	40	0	0	0	0	0	0	40	0	0	0	0	0	0
DTX3L	ENSG00000163840	ENST00000296161	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
DTX3L	ENSG00000163840	ENST00000383661	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
DUSP16	ENSG00000111266	ENST00000228862	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DUSP16	ENSG00000111266	ENST00000539940	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DUSP16	ENSG00000111266	ENST00000541207	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000420316	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000442591	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000450046	protein_coding	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	1
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	1
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0
EIF2B3	ENSG00000070785	ENST00000360403	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0
EIF2B3	ENSG00000070785	ENST00000439363	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0
EIF2S1	ENSG00000134001	ENST00000256383	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EIF2S1	ENSG00000134001	ENST00000557310	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EMC3	ENSG00000125037	ENST00000245046	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
EMC3	ENSG00000125037	ENST00000429759	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EMC3	ENSG00000125037	ENST00000470827	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000334018	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000404755	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000404820	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000429226	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000430127	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000433143	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
EPM2AIP1	ENSG00000178567	ENST00000322716	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000260943	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000342788	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000402597	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000436443	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ERI3	ENSG00000117419	ENST00000372257	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ERI3	ENSG00000117419	ENST00000452396	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ERI3	ENSG00000117419	ENST00000457571	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ERI3	ENSG00000117419	ENST00000537474	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ERP29	ENSG00000089248	ENST00000261735	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ERP29	ENSG00000089248	ENST00000455836	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ESR1	ENSG00000091831	ENST00000206249	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ESR1	ENSG00000091831	ENST00000338799	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ESR1	ENSG00000091831	ENST00000404742	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000406599	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ESR1	ENSG00000091831	ENST00000427531	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ESR1	ENSG00000091831	ENST00000440973	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000443427	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ESR1	ENSG00000091831	ENST00000446550	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ESR1	ENSG00000091831	ENST00000456483	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ETV6	ENSG00000139083	ENST00000396373	protein_coding	0	0	0	34	0	0	0	0	0	0	34	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000331029	protein_coding	0	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000332035	protein_coding	0	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000332050	protein_coding	0	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000333395	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000360091	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000397938	protein_coding	0	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000406548	protein_coding	0	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000414183	protein_coding	0	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000415761	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000436425	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000437155	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000444626	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000447973	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000455726	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
EXOSC10	ENSG00000171824	ENST00000304457	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
EXOSC10	ENSG00000171824	ENST00000376936	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
EXOSC10	ENSG00000171824	ENST00000544779	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
FAM122C	ENSG00000156500	ENST00000370784	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
FAM122C	ENSG00000156500	ENST00000370785	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
FAM122C	ENSG00000156500	ENST00000445123	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
FAM160A1	ENSG00000164142	ENST00000435205	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
FAM160A1	ENSG00000164142	ENST00000503146	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
FAM160A1	ENSG00000164142	ENST00000512597	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
FAM160A1	ENSG00000164142	ENST00000513086	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
FAM160A1	ENSG00000164142	ENST00000513962	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
FAM179A	ENSG00000189350	ENST00000379558	protein_coding	0	1	0	14	1	0	0	0	0	0	13	0	0	0	0	1	0
FAM179A	ENSG00000189350	ENST00000401723	protein_coding	0	0	0	17	0	0	0	0	0	0	17	0	0	0	0	0	0
FAM179A	ENSG00000189350	ENST00000403861	protein_coding	0	1	0	14	1	0	0	0	0	0	13	0	0	0	0	1	0
FAM179A	ENSG00000189350	ENST00000420297	protein_coding	0	0	0	15	0	0	0	0	8	0	5	0	0	0	0	0	2
FAM179A	ENSG00000189350	ENST00000440012	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FANCA	ENSG00000187741	ENST00000389301	protein_coding	0	0	0	5	0	0	0	0	1	0	4	0	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000567879	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
FANCA	ENSG00000187741	ENST00000568369	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000287647	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	2
FANCD2	ENSG00000144554	ENST00000383806	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	2
FANCD2	ENSG00000144554	ENST00000383807	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	2
FANCD2	ENSG00000144554	ENST00000419585	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	2
FANCD2	ENSG00000144554	ENST00000431693	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
FANCG	ENSG00000221829	ENST00000378643	protein_coding	1	2	2	7	0	1	1	0	0	1	6	2	0	0	0	1	0
FANCG	ENSG00000221829	ENST00000448890	protein_coding	0	0	1	10	0	0	0	0	7	0	3	1	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000265094	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000296933	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000393802	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000425623	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000517395	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
FBXW11	ENSG00000072803	ENST00000518752	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1
FGF14	ENSG00000102466	ENST00000376131	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000260795	protein_coding	1	1	0	11	0	0	0	0	0	1	6	0	0	0	0	1	5
FGFR3	ENSG00000068078	ENST00000340107	protein_coding	0	1	0	12	0	0	0	0	0	0	7	0	0	0	0	1	5
FGFR3	ENSG00000068078	ENST00000352904	protein_coding	0	1	0	12	0	0	0	0	0	0	7	0	0	0	0	1	5
FGFR3	ENSG00000068078	ENST00000412135	protein_coding	0	1	0	12	0	0	0	0	0	0	7	0	0	0	0	1	5
FGFR3	ENSG00000068078	ENST00000440486	protein_coding	1	1	0	11	0	0	0	0	0	1	6	0	0	0	0	1	5
FGFR3	ENSG00000068078	ENST00000481110	protein_coding	1	0	1	11	0	0	0	0	0	1	6	1	0	0	0	0	5
FGFR3	ENSG00000068078	ENST00000507588	protein_coding	1	0	0	7	0	0	0	0	3	1	0	0	0	0	0	0	4
FIP1L1	ENSG00000145216	ENST00000306932	protein_coding	0	0	0	18	0	0	0	0	0	0	18	0	0	0	0	0	0
FIP1L1	ENSG00000145216	ENST00000337488	protein_coding	0	0	0	18	0	0	0	0	0	0	18	0	0	0	0	0	0
FIP1L1	ENSG00000145216	ENST00000358575	protein_coding	0	0	0	18	0	0	0	0	0	0	18	0	0	0	0	0	0
FIP1L1	ENSG00000145216	ENST00000507166	protein_coding	0	0	0	46	0	0	0	0	0	0	46	0	0	0	0	0	0
FIP1L1	ENSG00000145216	ENST00000507922	protein_coding	0	0	0	18	0	0	0	0	0	0	18	0	0	0	0	0	0
FRMPD2	ENSG00000170324	ENST00000305531	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
FRMPD2	ENSG00000170324	ENST00000374201	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
FRMPD2	ENSG00000170324	ENST00000407470	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
FSTL4	ENSG00000053108	ENST00000265342	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
FUS	ENSG00000089280	ENST00000254108	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
FUS	ENSG00000089280	ENST00000380244	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
FUS	ENSG00000089280	ENST00000568685	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
GALNT9	ENSG00000182870	ENST00000328957	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
GALNT9	ENSG00000182870	ENST00000397325	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
GALNT9	ENSG00000182870	ENST00000411988	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
GALNT9	ENSG00000182870	ENST00000535228	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
GALNT9	ENSG00000182870	ENST00000541995	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
GDPD3	ENSG00000102886	ENST00000406256	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
GDPD3	ENSG00000102886	ENST00000566613	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
GFER	ENSG00000127554	ENST00000248114	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GFER	ENSG00000127554	ENST00000567719	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GFER	ENSG00000127554	ENST00000569451	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GNA11	ENSG00000088256	ENST00000078429	protein_coding	0	0	1	6	2	0	0	0	0	0	4	1	0	0	0	0	0
GNA11	ENSG00000088256	ENST00000587636	protein_coding	0	0	1	6	0	0	0	0	0	0	5	1	0	0	0	0	1
GPR107	ENSG00000148358	ENST00000347136	protein_coding	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0
GPR107	ENSG00000148358	ENST00000372406	protein_coding	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0
GPR107	ENSG00000148358	ENST00000372410	protein_coding	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0
GPX3	ENSG00000211445	ENST00000388825	protein_coding	0	1	0	7	0	0	0	0	0	0	8	0	0	1	0	0	0
GPX3	ENSG00000211445	ENST00000517973	protein_coding	0	1	0	7	0	0	0	0	0	0	8	0	0	1	0	0	0
GPX3	ENSG00000211445	ENST00000520059	protein_coding	0	1	0	7	0	0	0	0	0	0	1	0	0	1	0	0	7
GPX3	ENSG00000211445	ENST00000521632	protein_coding	0	1	0	7	0	0	0	0	0	0	2	0	0	1	0	0	6
GPX3	ENSG00000211445	ENST00000521650	protein_coding	0	1	0	7	0	0	0	0	1	0	7	0	0	1	0	0	0
GRID1	ENSG00000182771	ENST00000327946	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
GTF3A	ENSG00000122034	ENST00000381140	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GTF3A	ENSG00000122034	ENST00000439403	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H2AFY	ENSG00000113648	ENST00000304332	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
H2AFY	ENSG00000113648	ENST00000312469	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
H2AFY	ENSG00000113648	ENST00000423969	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
H2AFY	ENSG00000113648	ENST00000510038	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
H2AFY	ENSG00000113648	ENST00000511689	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HAO2	ENSG00000116882	ENST00000325945	protein_coding	1	0	0	12	0	0	0	0	2	1	10	0	0	0	0	0	0
HAO2	ENSG00000116882	ENST00000361035	protein_coding	1	0	0	12	0	0	0	0	2	1	10	0	0	0	0	0	0
HAO2	ENSG00000116882	ENST00000457318	protein_coding	1	0	0	10	0	0	0	0	0	1	10	0	0	0	0	0	0
HAS1	ENSG00000105509	ENST00000222115	protein_coding	0	0	0	10	1	0	0	0	3	0	6	0	0	0	0	0	0
HAS1	ENSG00000105509	ENST00000540069	protein_coding	0	0	0	10	1	0	0	0	3	0	6	0	0	0	0	0	0
HAS1	ENSG00000105509	ENST00000594621	protein_coding	0	0	0	10	0	0	0	0	4	0	3	0	0	0	0	0	3
HAS1	ENSG00000105509	ENST00000601667	protein_coding	0	0	0	10	0	0	0	0	4	0	3	0	0	0	0	0	3
HAS1	ENSG00000105509	ENST00000601714	protein_coding	0	0	0	10	1	0	0	0	3	0	3	0	0	0	0	0	3
HECW2	ENSG00000138411	ENST00000260983	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
HECW2	ENSG00000138411	ENST00000427457	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
HECW2	ENSG00000138411	ENST00000452031	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
HIC2	ENSG00000169635	ENST00000407464	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HIC2	ENSG00000169635	ENST00000407598	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
HIST1H2AB	ENSG00000137259	ENST00000259791	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
HIST1H3B	ENSG00000124693	ENST00000244661	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
HIST1H4B	ENSG00000124529	ENST00000377364	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HMBOX1	ENSG00000147421	ENST00000287701	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000355231	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000397358	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000403668	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000444075	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000519047	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000523613	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000524238	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000558662	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HMBOX1	ENSG00000147421	ENST00000560599	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000311189	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000397594	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
HRAS	ENSG00000174775	ENST00000397596	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000417302	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000451590	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HSD17B7	ENSG00000132196	ENST00000254521	protein_coding	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	3
HSD17B7	ENSG00000132196	ENST00000367913	protein_coding	0	0	0	7	0	0	0	0	2	0	2	0	0	0	0	0	3
HSD17B7	ENSG00000132196	ENST00000367915	protein_coding	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	3
HSD17B7	ENSG00000132196	ENST00000367917	protein_coding	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	3
HSD3B2	ENSG00000203859	ENST00000369416	protein_coding	0	0	0	6	1	0	0	0	4	0	0	0	0	0	0	0	1
HSD3B2	ENSG00000203859	ENST00000433745	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	1
HSD3B2	ENSG00000203859	ENST00000543831	protein_coding	0	0	0	6	1	0	0	0	4	0	0	0	0	0	0	0	1
IL12RB1	ENSG00000096996	ENST00000593993	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
IL12RB1	ENSG00000096996	ENST00000600835	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
IL4I1	ENSG00000104951	ENST00000341114	protein_coding	0	0	0	20	0	0	0	0	0	0	20	0	0	0	0	0	0
IL4I1	ENSG00000104951	ENST00000391826	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
IL4I1	ENSG00000104951	ENST00000593956	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
IL4I1	ENSG00000104951	ENST00000595948	protein_coding	0	0	0	20	0	0	0	0	0	0	20	0	0	0	0	0	0
IL4I1	ENSG00000104951	ENST00000596011	protein_coding	0	0	0	20	0	0	0	0	0	0	20	0	0	0	0	0	0
IL4I1	ENSG00000104951	ENST00000596022	protein_coding	0	0	0	20	0	0	0	0	0	0	20	0	0	0	0	0	0
IL4I1	ENSG00000104951	ENST00000597295	protein_coding	0	0	0	20	0	0	0	0	0	0	20	0	0	0	0	0	0
INPP5F	ENSG00000198825	ENST00000361976	protein_coding	0	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	1
INPP5F	ENSG00000198825	ENST00000369081	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
INPP5F	ENSG00000198825	ENST00000369083	protein_coding	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	0	1
ITGA7	ENSG00000135424	ENST00000257879	protein_coding	1	0	0	15	0	0	2	0	0	1	12	0	0	0	0	0	1
ITGA7	ENSG00000135424	ENST00000257880	protein_coding	1	0	1	14	0	0	2	0	0	1	11	1	0	0	0	0	1
ITGA7	ENSG00000135424	ENST00000347027	protein_coding	1	0	0	15	0	0	2	0	0	1	12	0	0	0	0	0	1
ITGA7	ENSG00000135424	ENST00000394229	protein_coding	1	0	0	15	0	0	2	0	0	1	12	0	0	0	0	0	1
ITGA7	ENSG00000135424	ENST00000394230	protein_coding	1	0	1	14	0	0	2	0	0	1	11	1	0	0	0	0	1
ITGA7	ENSG00000135424	ENST00000452168	protein_coding	1	0	1	14	0	0	0	0	0	1	14	1	0	0	0	0	0
ITGA7	ENSG00000135424	ENST00000553804	protein_coding	1	0	1	14	0	0	1	0	0	1	11	1	0	0	0	0	2
ITGA7	ENSG00000135424	ENST00000555728	protein_coding	1	0	1	14	0	0	2	0	0	1	11	1	0	0	0	0	1
ITGA7	ENSG00000135424	ENST00000557257	protein_coding	0	0	0	11	0	0	0	0	1	0	10	0	0	0	0	0	0
ITGA7	ENSG00000135424	ENST00000557555	protein_coding	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	4
IVD	ENSG00000128928	ENST00000249760	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IVD	ENSG00000128928	ENST00000466756	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
IVD	ENSG00000128928	ENST00000473112	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
IVD	ENSG00000128928	ENST00000479013	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IVD	ENSG00000128928	ENST00000487418	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IVD	ENSG00000128928	ENST00000491554	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
