# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
RAF1	ENSG00000132155	ENST00000689389	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000690397	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000690460	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000691718	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000691899	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000692093	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000692959	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000693312	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RB1	ENSG00000139687	ENST00000267163	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RB1	ENSG00000139687	ENST00000650461	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RICTOR	ENSG00000164327	ENST00000296782	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RICTOR	ENSG00000164327	ENST00000357387	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RIT1	ENSG00000143622	ENST00000368322	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000368323	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000539040	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RIT1	ENSG00000143622	ENST00000609492	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000651833	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000651853	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RNF43	ENSG00000108375	ENST00000407977	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000577625	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000577716	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000581868	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000583753	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000584437	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
ROS1	ENSG00000047936	ENST00000403284	protein_coding	0	0	0	4	0	0	4	0	0	0	0	0	0	0
SDC4	ENSG00000124145	ENST00000372733	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000409792	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000412450	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000638947	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000685005	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000685399	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000686876	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000690157	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000691544	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000691902	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
SPOP	ENSG00000121067	ENST00000347630	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000393328	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000451526	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
SPOP	ENSG00000121067	ENST00000503676	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000504102	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000505581	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000507970	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000508805	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
SPOP	ENSG00000121067	ENST00000509079	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000510476	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
SPOP	ENSG00000121067	ENST00000514121	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000515508	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
SPOP	ENSG00000121067	ENST00000665825	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
TMPRSS2	ENSG00000184012	ENST00000332149	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000398585	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000424093	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000454499	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000455813	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000458356	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000676973	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678171	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678348	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678743	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679016	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679054	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679263	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000269305	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000359597	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000413465	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000420246	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000445888	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000455263	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000503591	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504290	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000504937	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000508793	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000509690	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000510385	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000514944	protein_coding	1	0	0	1	0	0	1	1	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000576024	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
TP53	ENSG00000141510	ENST00000604348	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610292	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000610538	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000610623	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000618944	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000619186	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000619485	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000620739	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TP53	ENSG00000141510	ENST00000622645	protein_coding	1	0	0	1	0	0	0	2	0	0	1	0	0	0
TSC2	ENSG00000103197	ENST00000219476	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000350773	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000382538	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000401874	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000439673	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000568454	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000642365	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000642561	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000642797	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000642936	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000643088	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000643946	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000644043	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000644329	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000644335	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000644399	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000645186	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000646388	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
WT1	ENSG00000184937	ENST00000332351	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
WT1	ENSG00000184937	ENST00000379079	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
WT1	ENSG00000184937	ENST00000448076	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
WT1	ENSG00000184937	ENST00000452863	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
WT1	ENSG00000184937	ENST00000527882	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
WT1	ENSG00000184937	ENST00000530998	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
WT1	ENSG00000184937	ENST00000639563	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
WT1	ENSG00000184937	ENST00000640146	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
